chaves,operações
0,4
1,6
2,8
3,8
4,10
5,10
6,10
7,10
8,12
9,12
10,15
11,12
12,12
13,12
14,14
15,14
16,19
17,13
18,13
19,13
20,15
21,15
22,21
23,13
24,13
25,13
26,15
27,15
28,21
29,14
30,14
31,14
32,16
33,16
34,23
35,14
36,14
37,14
38,16
39,16
40,23
41,14
42,14
43,14
44,16
45,16
46,23
47,14
48,14
49,14
50,16
51,16
52,23
53,15
54,15
55,15
56,17
57,17
58,25
59,15
60,15
61,15
62,17
63,17
64,25
65,15
66,15
67,15
68,17
69,17
70,28
71,16
72,16
73,16
74,18
75,18
76,25
77,16
78,16
79,16
80,18
81,18
82,25
83,16
84,16
85,16
86,18
87,18
88,25
89,17
90,17
91,17
92,19
93,19
94,27
95,17
96,17
97,17
98,19
99,19
100,27
101,17
102,17
103,17
104,19
105,19
106,32
107,17
108,17
109,17
110,19
111,19
112,26
113,17
114,17
115,17
116,19
117,19
118,26
119,17
120,17
121,17
122,19
123,19
124,26
125,18
126,18
127,18
128,20
129,20
130,28
131,18
132,18
133,18
134,20
135,20
136,28
137,18
138,18
139,18
140,20
141,20
142,34
143,17
144,17
145,17
146,19
147,19
148,26
149,17
150,17
151,17
152,19
153,19
154,26
155,17
156,17
157,17
158,19
159,19
160,26
161,18
162,18
163,18
164,20
165,20
166,28
167,18
168,18
169,18
170,20
171,20
172,28
173,18
174,18
175,18
176,20
177,20
178,34
179,18
180,18
181,18
182,20
183,20
184,27
185,18
186,18
187,18
188,20
189,20
190,27
191,18
192,18
193,18
194,20
195,20
196,27
197,19
198,19
199,19
200,21
201,21
202,29
203,19
204,19
205,19
206,21
207,21
208,29
209,19
210,19
211,19
212,21
213,21
214,36
215,18
216,18
217,18
218,20
219,20
220,27
221,18
222,18
223,18
224,20
225,20
226,27
227,18
228,18
229,18
230,20
231,20
232,27
233,19
234,19
235,19
236,21
237,21
238,29
239,19
240,19
241,19
242,21
243,21
244,29
245,19
246,19
247,19
248,21
249,21
250,36
251,18
252,18
253,18
254,20
255,20
256,27
