chaves,operações
0,1
1,2
2,6
3,5
4,7
5,6
6,8
7,10
8,8
9,9
10,9
11,11
12,9
13,10
14,10
15,12
16,10
17,14
18,10
19,12
20,10
21,13
22,11
23,13
24,11
25,15
26,11
27,13
28,11
29,14
30,12
31,14
32,12
33,16
34,12
35,14
36,12
37,18
38,12
39,14
40,12
41,16
42,12
43,14
44,12
45,17
46,13
47,15
48,13
49,17
50,13
51,15
52,13
53,19
54,13
55,15
56,13
57,17
58,13
59,15
60,13
61,18
62,14
63,16
64,14
65,18
66,14
67,16
68,14
69,20
70,14
71,16
72,14
73,18
74,14
75,16
76,14
77,22
78,14
79,16
80,14
81,18
82,14
83,16
84,14
85,20
86,14
87,16
88,14
89,18
90,14
91,16
92,14
93,21
94,15
95,17
96,15
97,19
98,15
99,17
100,15
101,21
102,15
103,17
104,15
105,19
106,15
107,17
108,15
109,23
110,15
111,17
112,15
113,19
114,15
115,17
116,15
117,21
118,15
119,17
120,15
121,19
122,15
123,17
124,15
125,22
126,16
127,18
128,16
129,20
130,16
131,18
132,16
133,22
134,16
135,18
136,16
137,20
138,16
139,18
140,16
141,24
142,16
143,18
144,16
145,20
146,16
147,18
148,16
149,22
150,16
151,18
152,16
153,20
154,16
155,18
156,16
157,26
158,16
159,18
160,16
161,20
162,16
163,18
164,16
165,22
166,16
167,18
168,16
169,20
170,16
171,18
172,16
173,24
174,16
175,18
176,16
177,20
178,16
179,18
180,16
181,22
182,16
183,18
184,16
185,20
186,16
187,18
188,16
189,25
190,17
191,19
192,17
193,21
194,17
195,19
196,17
197,23
198,17
199,19
200,17
201,21
202,17
203,19
204,17
205,25
206,17
207,19
208,17
209,21
210,17
211,19
212,17
213,23
214,17
215,19
216,17
217,21
218,17
219,19
220,17
221,27
222,17
223,19
224,17
225,21
226,17
227,19
228,17
229,23
230,17
231,19
232,17
233,21
234,17
235,19
236,17
237,25
238,17
239,19
240,17
241,21
242,17
243,19
244,17
245,23
246,17
247,19
248,17
249,21
250,17
251,19
252,17
253,26
254,18
255,20
256,18
257,22
258,18
259,20
260,18
261,24
262,18
263,20
264,18
265,22
266,18
267,20
268,18
269,26
270,18
271,20
272,18
273,22
274,18
275,20
276,18
277,24
278,18
279,20
280,18
281,22
282,18
283,20
284,18
285,28
286,18
287,20
288,18
289,22
290,18
291,20
292,18
293,24
294,18
295,20
296,18
297,22
298,18
299,20
300,18
301,26
302,18
303,20
304,18
305,22
306,18
307,20
308,18
309,24
310,18
311,20
312,18
313,22
314,18
315,20
316,18
317,30
318,18
319,20
320,18
321,22
322,18
323,20
324,18
325,24
326,18
327,20
328,18
329,22
330,18
331,20
332,18
333,26
334,18
335,20
336,18
337,22
338,18
339,20
340,18
341,24
342,18
343,20
344,18
345,22
346,18
347,20
348,18
349,28
350,18
351,20
352,18
353,22
354,18
355,20
356,18
357,24
358,18
359,20
360,18
361,22
362,18
363,20
364,18
365,26
366,18
367,20
368,18
369,22
370,18
371,20
372,18
373,24
374,18
375,20
376,18
377,22
378,18
379,20
380,18
381,29
382,19
383,21
384,19
385,23
386,19
387,21
388,19
389,25
390,19
391,21
392,19
393,23
394,19
395,21
396,19
397,27
398,19
399,21
400,19
401,23
402,19
403,21
404,19
405,25
406,19
407,21
408,19
409,23
410,19
411,21
412,19
413,29
414,19
415,21
416,19
417,23
418,19
419,21
420,19
421,25
422,19
423,21
424,19
425,23
426,19
427,21
428,19
429,27
430,19
431,21
432,19
433,23
434,19
435,21
436,19
437,25
438,19
439,21
440,19
441,23
442,19
443,21
444,19
445,31
446,19
447,21
448,19
449,23
450,19
451,21
452,19
453,25
454,19
455,21
456,19
457,23
458,19
459,21
460,19
461,27
462,19
463,21
464,19
465,23
466,19
467,21
468,19
469,25
470,19
471,21
472,19
473,23
474,19
475,21
476,19
477,29
478,19
479,21
480,19
481,23
482,19
483,21
484,19
485,25
486,19
487,21
488,19
489,23
490,19
491,21
492,19
493,27
494,19
495,21
496,19
497,23
498,19
499,21
500,19
501,25
502,19
503,21
504,19
505,23
506,19
507,21
508,19
509,30
510,20
511,22
512,20
513,24
514,20
515,22
516,20
517,26
518,20
519,22
520,20
521,24
522,20
523,22
524,20
525,28
526,20
527,22
528,20
529,24
530,20
531,22
532,20
533,26
534,20
535,22
536,20
537,24
538,20
539,22
540,20
541,30
542,20
543,22
544,20
545,24
546,20
547,22
548,20
549,26
550,20
551,22
552,20
553,24
554,20
555,22
556,20
557,28
558,20
559,22
560,20
561,24
562,20
563,22
564,20
565,26
566,20
567,22
568,20
569,24
570,20
571,22
572,20
573,32
574,20
575,22
576,20
577,24
578,20
579,22
580,20
581,26
582,20
583,22
584,20
585,24
586,20
587,22
588,20
589,28
590,20
591,22
592,20
593,24
594,20
595,22
596,20
597,26
598,20
599,22
600,20
601,24
602,20
603,22
604,20
605,30
606,20
607,22
608,20
609,24
610,20
611,22
612,20
613,26
614,20
615,22
616,20
617,24
618,20
619,22
620,20
621,28
622,20
623,22
624,20
625,24
626,20
627,22
628,20
629,26
630,20
631,22
632,20
633,24
634,20
635,22
636,20
637,34
638,20
639,22
640,20
641,24
642,20
643,22
644,20
645,26
646,20
647,22
648,20
649,24
650,20
651,22
652,20
653,28
654,20
655,22
656,20
657,24
658,20
659,22
660,20
661,26
662,20
663,22
664,20
665,24
666,20
667,22
668,20
669,30
670,20
671,22
672,20
673,24
674,20
675,22
676,20
677,26
678,20
679,22
680,20
681,24
682,20
683,22
684,20
685,28
686,20
687,22
688,20
689,24
690,20
691,22
692,20
693,26
694,20
695,22
696,20
697,24
698,20
699,22
700,20
701,32
702,20
703,22
704,20
705,24
706,20
707,22
708,20
709,26
710,20
711,22
712,20
713,24
714,20
715,22
716,20
717,28
718,20
719,22
720,20
721,24
722,20
723,22
724,20
725,26
726,20
727,22
728,20
729,24
730,20
731,22
732,20
733,30
734,20
735,22
736,20
737,24
738,20
739,22
740,20
741,26
742,20
743,22
744,20
745,24
746,20
747,22
748,20
749,28
750,20
751,22
752,20
753,24
754,20
755,22
756,20
757,26
758,20
759,22
760,20
761,24
762,20
763,22
764,20
765,33
766,21
767,23
768,21
769,25
770,21
771,23
772,21
773,27
774,21
775,23
776,21
777,25
778,21
779,23
780,21
781,29
782,21
783,23
784,21
785,25
786,21
787,23
788,21
789,27
790,21
791,23
792,21
793,25
794,21
795,23
796,21
797,31
798,21
799,23
800,21
801,25
802,21
803,23
804,21
805,27
806,21
807,23
808,21
809,25
810,21
811,23
812,21
813,29
814,21
815,23
816,21
817,25
818,21
819,23
820,21
821,27
822,21
823,23
824,21
825,25
826,21
827,23
828,21
829,33
830,21
831,23
832,21
833,25
834,21
835,23
836,21
837,27
838,21
839,23
840,21
841,25
842,21
843,23
844,21
845,29
846,21
847,23
848,21
849,25
850,21
851,23
852,21
853,27
854,21
855,23
856,21
857,25
858,21
859,23
860,21
861,31
862,21
863,23
864,21
865,25
866,21
867,23
868,21
869,27
870,21
871,23
872,21
873,25
874,21
875,23
876,21
877,29
878,21
879,23
880,21
881,25
882,21
883,23
884,21
885,27
886,21
887,23
888,21
889,25
890,21
891,23
892,21
893,35
894,21
895,23
896,21
897,25
898,21
899,23
900,21
901,27
902,21
903,23
904,21
905,25
906,21
907,23
908,21
909,29
910,21
911,23
912,21
913,25
914,21
915,23
916,21
917,27
918,21
919,23
920,21
921,25
922,21
923,23
924,21
925,31
926,21
927,23
928,21
929,25
930,21
931,23
932,21
933,27
934,21
935,23
936,21
937,25
938,21
939,23
940,21
941,29
942,21
943,23
944,21
945,25
946,21
947,23
948,21
949,27
950,21
951,23
952,21
953,25
954,21
955,23
956,21
957,33
958,21
959,23
960,21
961,25
962,21
